taxa,run_type,parallel,start_time,taxa_name,node_start_time,node_end_time,node_run_time_hours,output_object_size_mb,message
ant,JASMIN,TRUE,22/10/2024 18:19,tik_505,22/10/2024 18:19,22/10/2024 18:19,0.971597433,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 18:08,tik_481,22/10/2024 18:08,22/10/2024 19:04,56.12972459,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:05,tik_515,22/10/2024 19:05,22/10/2024 19:05,1.382511854,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 19:07,tik_516,22/10/2024 19:07,22/10/2024 19:07,1.201666832,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 18:06,tik_480,22/10/2024 18:06,22/10/2024 19:09,1.050008697,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:11,tik_520,22/10/2024 19:11,22/10/2024 19:11,1.530286789,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 17:46,tik_478,22/10/2024 17:46,22/10/2024 19:12,1.428664368,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:13,tik_566,22/10/2024 19:13,22/10/2024 19:13,0.914753675,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 19:13,tik_622,22/10/2024 19:13,22/10/2024 19:13,0.999740601,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 19:15,tik_624,22/10/2024 19:15,22/10/2024 19:15,1.403585911,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 17:46,tik_479,22/10/2024 17:46,22/10/2024 19:20,1.554380142,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:21,tik_642,22/10/2024 19:21,22/10/2024 19:21,1.166548491,0.022605896,Success
ant,JASMIN,TRUE,22/10/2024 18:12,tik_483,22/10/2024 18:12,22/10/2024 19:39,1.440198984,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 18:10,tik_482,22/10/2024 18:10,22/10/2024 19:40,1.502684109,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 18:21,tik_506,22/10/2024 18:21,22/10/2024 19:43,1.369313177,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:15,tik_623,22/10/2024 19:15,22/10/2024 20:14,59.20682468,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:17,tik_625,22/10/2024 19:17,22/10/2024 20:17,59.63537623,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:09,tik_519,22/10/2024 19:09,22/10/2024 21:18,2.148560703,2.151771545,Success
ant,JASMIN,TRUE,22/10/2024 19:23,tik_692,22/10/2024 19:23,22/10/2024 21:42,2.308257781,2.151771545,Success
